DATA,OBRA/EVENTO,ESPAÇO DA PARÓQUIA REQUISITADO,OBSERVAÇÕES
26/09/2026,GRUPO DE ORAÇÃO - GOD,SALÃO MENOR OU MAIOR,-
27/09/2026,CRISMA,SALÃO MAIOR,-
27/09/2026,DISCIPULADO 1,AUDITÓRIO,-
28/09/2026,DISCIPULADO 2,CAPELA SÃO JOSÉ,-
29/09/2026,KAYRÓS,SALÃO MENOR,-
02/10/2026 - 04/10/2026,RETIRO DISCIPULADO 1,A DEFINIR ,A CONFIRMAR
04/10/2026,CRISMA,SALÃO MAIOR,-
05/10/2026,DISCIPULADO 2,CAPELA SÃO JOSÉ,-
06/10/2026,KAYRÓS,SALÃO MENOR,-
11/10/2026,FERIADO: NS APARECIDA,-,DATA DO EJC
11/10/2026,MISSA - RESPONSABILIDADE OJ,IGREJA MATRIZ,
13/10/2026,FERIADO: NS APARECIDA + SEMANA DO PROFESSOR,-,-
16/10/2026 - 18/10/2026,RETIRO DISCIPULADO 1,ARCA,A CONFIRMAR - SUGESTÃO DE QUE SEJA UM RETIRO EM BH NAS DEPENDÊNCIAS DA PARÓQUIA
18/10/2026,CRISMA,SALÃO MAIOR,-
18/10/2026,DISCIPULADO 1,AUDITÓRIO,-
18/10/2026,MISSA - RESPONSABILIDADE OJ,IGREJA MATRIZ,MM E LITURGIA
19/10/2026,DISCIPULADO 2,CAPELA SÃO JOSÉ,ÚLTIMO ENCONTRO
20/10/2026,KAYRÓS,SALÃO MENOR,-
24/10/2026,CELEBRAÇÃO DO CRISMA 01 - 09:30,IGREJA MATRIZ,CANCELADO PELO BISPO - VERIFICAR UMA SÓ DATA POR FALTA DE OUTRAS DATAS
25/10/2025,DISCIPULADO 1,AUDITÓRIO,ÚLTIMO ENCONTRO
31/10/2026,CELEBRAÇÃO DO CRISMA 02 - 09:30,IGREJA MATRIZ,CONFIRMADO
03/11/2026,KAYRÓS,SALÃO MENOR,-
08/11/2026,MISSA - RESPONSABILIDADE OJ,IGREJA MATRIZ,MM E LITURGIA
10/11/2026,KAYRÓS,SALÃO MENOR,-
15/11/2026,MISSA - RESPONSABILIDADE OJ,IGREJA MATRIZ,MM E LITURGIA
17/11/2026,KAYRÓS,SALÃO MENOR,-
20/11/2026 - 21/11/2026,FESTA DA PADROEIRA - BARRAQUINHAS,-,A FESTA DA PADROEIRA TERÁ INÍCIO NO DIA 14/11 E TERMINARÁ NO DIA 22/11
24/11/2026,KAYRÓS,SALÃO MENOR,-
1/12/2026,KAYRÓS,SALÃO MENOR,-
8/12/2026,KAYRÓS,SALÃO MENOR,ÚLTIMO ENCONTRO
13/12/2026,MISSA - RESPONSABILIDADE OJ,IGREJA MATRIZ,MM E LITURGIA
20/12/2026,MISSA - RESPONSABILIDADE OJ,IGREJA MATRIZ,MM E LITURGIA
